Lat:;13.266039776;lon:;103.034228864;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;23.0
1985-04-01 00:00:00;1985;4;1;69.0
1985-05-01 00:00:00;1985;5;1;296.0
1985-06-01 00:00:00;1985;6;1;129.0
1985-07-01 00:00:00;1985;7;1;225.0
1985-08-01 00:00:00;1985;8;1;160.0
1985-09-01 00:00:00;1985;9;1;316.0
1985-10-01 00:00:00;1985;10;1;156.0
1985-11-01 00:00:00;1985;11;1;41.0
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;2.0
1986-04-01 00:00:00;1986;4;1;53.0
1986-05-01 00:00:00;1986;5;1;71.0
1986-06-01 00:00:00;1986;6;1;165.0
1986-07-01 00:00:00;1986;7;1;139.0
1986-08-01 00:00:00;1986;8;1;251.0
1986-09-01 00:00:00;1986;9;1;124.0
1986-10-01 00:00:00;1986;10;1;268.0
1986-11-01 00:00:00;1986;11;1;17.0
1986-12-01 00:00:00;1986;12;1;11.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;1.0
1987-04-01 00:00:00;1987;4;1;31.0
1987-05-01 00:00:00;1987;5;1;93.0
1987-06-01 00:00:00;1987;6;1;103.0
1987-07-01 00:00:00;1987;7;1;55.0
1987-08-01 00:00:00;1987;8;1;200.0
1987-09-01 00:00:00;1987;9;1;181.0
1987-10-01 00:00:00;1987;10;1;75.0
1987-11-01 00:00:00;1987;11;1;144.0
1987-12-01 00:00:00;1987;12;1;16.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;36.0
1988-04-01 00:00:00;1988;4;1;58.0
1988-05-01 00:00:00;1988;5;1;92.0
1988-06-01 00:00:00;1988;6;1;132.0
1988-07-01 00:00:00;1988;7;1;154.0
1988-08-01 00:00:00;1988;8;1;141.0
1988-09-01 00:00:00;1988;9;1;197.0
1988-10-01 00:00:00;1988;10;1;198.0
1988-11-01 00:00:00;1988;11;1;9.0
1988-12-01 00:00:00;1988;12;1;9.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;1.0
1989-04-01 00:00:00;1989;4;1;45.0
1989-05-01 00:00:00;1989;5;1;232.0
1989-06-01 00:00:00;1989;6;1;111.0
1989-07-01 00:00:00;1989;7;1;106.0
1989-08-01 00:00:00;1989;8;1;291.0
1989-09-01 00:00:00;1989;9;1;249.0
1989-10-01 00:00:00;1989;10;1;170.0
1989-11-01 00:00:00;1989;11;1;28.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;6.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;7.0
1990-04-01 00:00:00;1990;4;1;26.0
1990-05-01 00:00:00;1990;5;1;110.0
1990-06-01 00:00:00;1990;6;1;133.0
1990-07-01 00:00:00;1990;7;1;231.0
1990-08-01 00:00:00;1990;8;1;164.0
